well_name,look_back,n_nodes,learning_rate,test_rmse
well_2,36,8,0.1,106.24884326721742
well_2,24,16,0.01,116.07134564422249
well_2,36,4,0.01,119.50958323995974
well_2,24,8,0.001,124.75134980782417
well_2,24,16,0.1,130.78126555119724
well_2,24,16,0.001,134.43656112250656
well_2,12,8,0.01,136.75728396111003
well_2,12,4,0.001,141.54686381909914
well_2,12,16,0.01,144.520574260197
well_2,36,8,0.01,145.55148666904648
well_2,36,16,0.001,149.06983389769402
well_2,12,16,0.001,151.27593374257643
well_2,36,8,0.001,154.1938661189026
well_4,36,4,0.001,155.91760246111315
well_2,36,4,0.001,157.46799727961613
well_2,12,8,0.1,159.14838915027283
well_4,36,16,0.001,159.42273895110213
well_2,24,4,0.001,159.59442047243073
well_2,24,8,0.1,159.7519949361515
well_4,36,16,0.1,160.56047160316555
well_2,24,4,0.01,161.8416617230279
well_4,12,4,0.001,161.9221324649599
well_5,12,8,0.1,162.6472455662366
well_4,12,4,0.1,162.7848389223476
well_2,12,4,0.1,164.1128055872534
well_4,24,16,0.1,168.03785050779786
well_4,24,8,0.01,170.27745517502518
well_4,24,4,0.001,170.87601354867863
well_2,12,8,0.001,171.8340599693247
well_4,24,8,0.001,172.51137809374686
well_2,36,4,0.1,172.84028139596924
well_2,24,4,0.1,173.4171933225329
well_4,36,8,0.01,174.23102850341454
well_4,36,8,0.001,174.57787256444007
well_4,12,16,0.001,175.96034236479258
well_4,12,8,0.01,176.03777968873692
well_4,12,16,0.1,176.23100497752938
well_4,12,4,0.01,179.4062151340749
well_2,12,16,0.1,179.8948540286923
well_4,24,16,0.001,180.4111347899053
well_4,36,4,0.01,181.55158214639545
well_2,12,4,0.01,182.37942651297027
well_4,24,4,0.1,182.68555607995276
well_4,24,4,0.01,184.4911806560203
well_4,24,16,0.01,188.24463658023254
well_4,12,16,0.01,189.76822295722874
well_4,12,8,0.001,197.11517663189667
well_5,12,8,0.001,207.7829311484419
well_2,36,16,0.1,221.05939163035526
well_5,24,16,0.1,233.01355975885085
well_5,12,4,0.1,242.7504093337665
well_5,36,16,0.001,244.64843665429652
well_5,24,4,0.001,250.86224676805367
well_5,24,4,0.01,252.71647801814407
well_5,36,4,0.001,266.359456574462
well_3,24,4,0.001,270.99659690950506
well_5,24,8,0.001,273.93491943847465
well_5,12,4,0.01,280.09318436121384
well_5,24,8,0.01,281.60789590228234
well_5,36,4,0.01,283.8029540791835
well_5,36,16,0.1,285.6007193741754
well_5,12,4,0.001,287.9914826538222
well_5,12,16,0.01,292.45019493905306
well_5,24,8,0.1,293.39522153064416
well_5,12,16,0.001,295.08970259070423
well_5,24,16,0.01,304.98120030803506
well_5,36,8,0.01,307.5818905247536
well_3,12,4,0.001,308.95184946023636
well_3,12,4,0.1,314.29023982631406
well_5,36,16,0.01,319.3398656022048
well_5,36,8,0.001,320.3578623291896
well_5,24,16,0.001,324.85726627951146
well_5,36,4,0.1,326.16443208128754
well_3,24,8,0.001,328.09278441246414
well_5,12,8,0.01,334.5403602979101
well_2,36,16,0.01,337.3400789638828
well_3,24,16,0.001,337.6376102252137
well_5,36,8,0.1,339.31555391642775
well_5,12,16,0.1,341.8661594312364
well_3,36,8,0.001,344.73193424426444
well_3,36,4,0.001,347.1231071754093
well_3,12,4,0.01,352.10998967499785
well_4,36,16,0.01,360.67862726779515
well_3,36,4,0.01,375.9572783731309
well_3,24,4,0.01,376.44276911427187
well_3,12,16,0.1,383.0140023640004
well_3,36,8,0.01,390.1882263294442
well_4,36,4,0.1,390.5029579366097
well_3,12,8,0.001,393.85587128261034
well_1,24,4,0.01,395.5110720366816
well_2,24,8,0.01,396.5972001201795
well_1,24,4,0.1,397.6327526425628
well_5,24,4,0.1,398.0001532655974
well_1,12,8,0.01,398.1614253305892
well_3,24,8,0.1,404.37338921431274
well_3,24,8,0.01,409.0378287640134
well_1,24,8,0.1,413.7045020899326
well_1,24,8,0.01,414.6655072007142
well_3,12,16,0.001,414.7664132062988
well_3,24,16,0.1,421.9745342898452
well_1,36,16,0.01,423.07440336555163
well_1,36,8,0.01,424.0264211310747
well_3,36,16,0.001,427.22616663060285
well_3,36,8,0.1,441.25003391829966
well_1,24,16,0.1,443.8768574335133
well_3,12,8,0.01,447.3310716672354
well_3,36,4,0.1,447.55418641275406
well_1,24,8,0.001,467.3276049566687
well_1,12,16,0.01,468.96052977567757
well_1,36,4,0.01,469.84453978254095
well_1,12,16,0.001,470.7401957723683
well_1,36,8,0.001,477.5340783314217
well_1,36,4,0.001,480.635354846487
well_1,36,16,0.001,480.89065772250194
well_1,36,16,0.1,487.73099194327983
well_1,12,4,0.001,489.3956890029117
well_1,36,4,0.1,490.58064198127295
well_3,24,4,0.1,494.4838235978673
well_1,24,16,0.01,525.1032994992736
well_1,24,4,0.001,538.2524316609938
well_1,12,4,0.01,545.2176691943414
well_1,12,4,0.1,560.3427570009881
well_1,24,16,0.001,560.8198925985422
well_4,12,8,0.1,561.6029634107163
well_1,12,16,0.1,566.3518166242394
well_1,12,8,0.001,574.9841660153373
well_1,36,8,0.1,576.2859063497838
well_3,12,16,0.01,601.5568974945776
well_3,24,16,0.01,615.3143404536238
well_3,12,8,0.1,870.782657126389
well_3,36,16,0.01,1150.928539530342
well_1,12,8,0.1,1292.7742348845964
well_3,36,16,0.1,1361.5188117671778
well_4,36,8,0.1,5537.4137511482595
well_4,24,8,0.1,65756.90204012912
